date,symbol,rsi14,rsi3,ema21_of_rsi14,macd-22-10-7,macd-signal-22-10-7,hist-22-10-7,macd-11-5-3,macd-signal-11-5-3,obv,ema21_of_obv,mfi,kst,kst-1ago,kst-2ago,kst-signal,cloudtop,ema8,ema13,ema21,ema34,ema55,ema200,hull21,hull55,hull89,supertrend10-3,di-positive,di-negative,adx-14,high,low,close,open
8th Apr,TVSSCS,44.84,62.19,43.15,-9.99,-9.48,-0.508,-4.92,-6.87,-9.72,-6.80,55.54,-177.07,-179.28,-180.68,-175.39,NaN,171.98,176.91,183.31,189.15,193.13,196.73,158.86,0,0,198.93,20.34,22.63,23.21,182.90,169,174.65,178
8th Apr,EPL,44.79,48.65,47.19,-3.10,-2.39,-0.709,-2.32,-2.72,546.35,546.76,29.57,-45.19,-41.10,-39.74,-35.69,198.63,187.36,189.24,191.12,191.77,190.58,184.15,182.78,190.38,201.62,212.99,16.25,13.69,13.50,193.50,185.25,185.95,191
8th Apr,INDIAMART,44.67,39.56,46.53,-37.63,-36.61,-1.02,-22.50,-17.32,63.58,64.26,29.78,-64.24,-62.80,-57.71,-62.31,3000.56,2615.92,2631.77,2657.20,2680.18,2682.02,2477.77,2631.28,2551.98,2766.63,3027.74,14.15,19.97,13.63,2607,2531.05,2580.55,2548.45
8th Apr,EMAMILTD,44.67,72.30,46.61,-16.54,-13.56,-2.98,-10.61,-14.22,305.15,302.60,27.09,-68.58,-56.53,-47.10,-36.21,506.43,449.62,459.58,469.57,473.14,470.39,454.69,418.49,481.26,516.38,518.62,17.77,21.27,21.38,461,447.20,454.25,452
8th Apr,DEVYANI,44.62,76.90,41.23,-8.34,-8.71,0.373,-3.05,-4.60,128.12,123.30,34.81,-150.91,-152.27,-143.82,-139.03,199.82,159.31,162.93,168.43,173.51,175.82,160.40,147.91,160.59,180.85,187.26,21.84,27.54,21.91,168,155.50,164.05,157.90
8th Apr,TV18BRDCST,44.55,30.03,56.17,-0.318,1.54,-1.86,-2.72,-2.48,4315.57,4019.20,83.06,170.93,198.46,234.86,235.54,43.27,50.94,52.26,52.10,50.33,47.81,42.02,49.79,59.00,57.78,45.64,18.77,21.74,27.90,49.95,46.75,47.30,49
8th Apr,3MINDIA,44.52,27.73,53.28,-278.82,59.05,-337.87,-575.32,-537.21,777.70,828.12,24.33,26.61,43.98,58.40,56.75,29261.33,30671.93,31038.75,31145.57,30664.95,29531.38,25151.10,29766.81,32793.13,34044.80,28965.56,20.63,17.02,28.27,30556.45,29501.10,29611.10,30348.45
8th Apr,VIPIND,44.27,59.31,40.10,-24.75,-27.16,2.41,-7.29,-12.16,1501.63,1484.33,60.38,-147.02,-148.12,-150.79,-140.48,658.41,526.61,536.37,552.97,572.60,589.24,543.86,497.16,524.50,562.82,583.85,20.71,23.04,16.15,549.80,526.50,533.55,548.70
8th Apr,RHIM,44.17,70.73,43.50,-39.45,-35.79,-3.66,-20.30,-29.93,88.22,88.96,33.10,-130.91,-121.73,-113.16,-99.41,731.73,602.61,623.85,648.42,666.33,669.28,532.30,522.05,657.53,692.21,681.48,19.82,28.71,27.62,628.80,600,618.45,614
8th Apr,ZFCVINDIA,44.10,22.04,55.52,-130.56,24.16,-154.71,-272.71,-216.25,6.15,6.27,32.77,35.63,56.40,78.79,74.10,14045.55,14893.62,15068.33,15117.73,14799.93,13995.61,10435.90,14574.24,16092.53,17030.19,14023.06,18.10,20.28,23.05,14817.55,14120,14180.20,14736.50
8th Apr,MEDPLUS,44.08,62.95,43.31,-21.90,-25.48,3.58,-5.11,-7.51,-24.54,-25.73,47.80,-126.77,-129.47,-131.63,-125.32,829.80,690.48,698.10,713.18,729.69,745.05,857.44,670.41,674.93,753.50,795.61,11.67,24.33,24.53,702.35,670,693.40,693.75
8th Apr,JKLAKSHMI,43.80,18.27,59.13,11.11,29.61,-18.50,-21.24,-14.20,285.80,283.94,55.60,181.83,208.36,232.20,220.51,712.27,858.23,864.88,854.00,826.95,787.62,616.63,866.90,945.65,870.88,754.36,17.93,24.61,22.16,859.90,792.20,796.15,856.55
8th Apr,JMFINANCIL,43.75,55.43,52.64,-3.17,-0.393,-2.77,-5.07,-5.63,1367.52,1383.39,51.87,43.60,64.35,95.83,105.51,80.97,84.61,87.88,89.37,88.20,85.11,80.50,77.93,99.25,100.14,105.43,17.52,23.41,36.74,84.20,81,82.60,82
8th Apr,INDIGOPNTS,43.67,49.01,45.78,-36.48,-28.65,-7.83,-26.72,-31.48,-0.237,0.317,41.11,-66.96,-61.72,-58.01,-48.89,1444.16,1363.35,1385.21,1407.42,1419.66,1432.98,1773.02,1319.00,1409.41,1508.30,1514.40,16.97,20.77,16.51,1410,1320.75,1347.80,1410
8th Apr,PGHH,43.33,31.58,51.14,-170.24,-109.21,-61.04,-155.00,-145.93,4090.22,4092.62,46.01,-7.21,6.11,17.24,13.32,16428.36,16356.04,16485.59,16579.98,16476.29,16128.76,14122.72,16033.10,17064.32,17780.72,17805.52,17.26,19.22,20.70,16470,15820,15953.60,16347.55
8th Apr,NAVINFLUOR,43.31,86.64,35.51,-184.11,-217.73,33.62,-34.92,-67.78,128.12,129.16,34.81,-196.22,-201.04,-201.17,-196.64,4300.02,3179.02,3239.16,3366.75,3548.92,3726.63,3392.98,2958.17,3001.71,3291.32,3527.38,16.13,28.31,37.17,3320,3037.05,3296.65,3169.95
8th Apr,PEL,43.29,47.75,45.96,-25.50,-22.12,-3.38,-16.83,-18.05,381.64,375.68,46.31,-83.27,-80.50,-74.15,-68.59,997.05,869.03,882.61,898.74,909.91,917.79,969.13,853.80,882.85,974.37,1049.04,17.09,18.26,20.46,887.60,851,859,854
8th Apr,INFY,43.18,15.68,55.61,2.64,29.56,-26.92,-37.80,-29.82,9977.57,10003.97,48.75,84.22,102.34,123.26,113.74,1428.95,1545.02,1560.12,1553.42,1530.52,1509.00,1372.02,1558.15,1653.61,1582.12,1695.29,19.31,20.59,27.28,1513.80,1474.10,1484.75,1483
